2023/02/10 14:54:01 FEED MONEY: $10.00 $10.00
2023/02/10 14:54:01 Heavy C4 $1.50 $8.50
2023/02/10 14:54:01 Triplemint D4 $0.75 $7.75
2023/02/10 14:54:01 GIVE CHANGE: $7.75 $0.00
2023/02/10 14:59:13 FEED MONEY: $10.00 $10.00
2023/02/10 14:59:13 GIVE CHANGE: $10.00 $0.00
2023/02/10 15:00:11 FEED MONEY: $10.00 $10.00
2023/02/10 15:00:11 GIVE CHANGE: $10.00 $0.00
2023/02/10 15:03:40 FEED MONEY: $10.00 $10.00
2023/02/10 15:03:40 Chiclets D3 $0.75 $9.25
2023/02/10 15:03:40 GIVE CHANGE: $9.25 $0.00
2023/02/10 15:09:06 FEED MONEY: $10.00 $10.00
2023/02/10 15:09:06 Dr. Salt C2 $1.50 $8.50
2023/02/10 15:09:06 Triplemint D4 $0.75 $7.75
2023/02/10 15:09:06 GIVE CHANGE: $7.75 $0.00
2023/02/10 15:11:00 FEED MONEY: $10.00 $10.00
2023/02/10 15:11:00 Triplemint D4 $0.75 $9.25
2023/02/10 15:11:00 Triplemint D4 $0.75 $8.50
2023/02/10 15:11:00 GIVE CHANGE: $8.50 $0.00
